Num,Filename,Kor
2,NIA_SL_SEN1912_REAL01,유턴 맞다
3,NIA_SL_SEN1183_REAL01,공항 버스 보다 전 곳 차내리다
4,NIA_SL_SEN0814_REAL01,버스 곳 내리다 맞다
5,NIA_SL_SEN1792_REAL01,아이 실종 잃어버리다
7,NIA_SL_SEN0783_REAL01,여기 내리다 맞다
8,NIA_SL_SEN1808_REAL01,우산 실종 잃어버리다
9,NIA_SL_SEN1926_REAL01,차밀리다 시간 괜찮다
10,NIA_SL_SEN1362_REAL01,서울대학교 길 찾다 방법
12,NIA_SL_SEN1580_REAL01,언덕 저기 곳 다음 도착 차내리다
13,NIA_SL_SEN0875_REAL01,서울농아인협회 내리다
14,NIA_SL_SEN1093_REAL01,카드 고장 잘 안되다
15,NIA_SL_SEN1896_REAL01,핸드폰 없다 실종
17,NIA_SL_SEN1641_REAL01,군청 곳 다음 내리다
18,NIA_SL_SEN1672_REAL01,버스 곳 다음 내리다
19,NIA_SL_SEN0164_REAL01,핸드폰 번호 필요
20,NIA_SL_SEN1411_REAL01,영등포 곳 찾다 곳 방법
22,NIA_SL_SEN1883_REAL01,아이 잃어버리다 실종
23,NIA_SL_SEN0454_REAL01,화장실 무엇
24,NIA_SL_SEN0472_REAL01,지갑 실종
25,NIA_SL_SEN0668_REAL01,지름길 가다 내리다
27,NIA_SL_SEN1538_REAL01,사거리 다음 도착 차내리다
28,NIA_SL_SEN0073_REAL01,9호
29,NIA_SL_SEN1932_REAL01,돈
30,NIA_SL_SEN0679_REAL01,나사렛 가다 내리다
32,NIA_SL_SEN0550_REAL01,좌회전 맞다
33,NIA_SL_SEN1656_REAL01,병원 저기 다음 곳
34,NIA_SL_SEN0040_REAL01,택시 기본 만원
35,NIA_SL_SEN1341_REAL01,3 가다 원하다 길 무엇
37,NIA_SL_SEN0904_REAL01,에어컨 켜다
38,NIA_SL_SEN0890_REAL01,서대문농아인복지관 내리다 오케이
39,NIA_SL_SEN0577_REAL01,나사렛 도착
40,NIA_SL_SEN0359_REAL01,여기 내리다 맞다
42,NIA_SL_SEN0211_REAL01,약 보다 차내리다
43,NIA_SL_SEN1116_REAL01,엘리베이터 잘 안되다 사용 불가능
44,NIA_SL_SEN1059_REAL01,자판기 안되다
45,NIA_SL_SEN0028_REAL01,위험
47,NIA_SL_SEN0378_REAL01,도착 3시
48,NIA_SL_SEN1358_REAL01,서울대학교 목적 가다 길 가다 방법
49,NIA_SL_SEN1465_REAL01,터널 다음 곳
50,NIA_SL_SEN0247_REAL01,9호 곳곳
52,NIA_SL_SEN0700_REAL01,아파트 문 가다
53,NIA_SL_SEN0523_REAL01,학교 가다
54,NIA_SL_SEN1052_REAL01,계단 뼈곳
55,NIA_SL_SEN1867_REAL01,사진기 찾다 실종
57,NIA_SL_SEN1265_REAL01,맥도날드 보다 곳 저기 다음 도착 내리다
