Num,Foldername,Kor
3,NIA_SL_SEN0814_REAL01,버스 곳 내리다 맞다
4,NIA_SL_SEN1792_REAL01,아이 실종 잃어버리다
5,NIA_SL_SEN0783_REAL01,여기 내리다 맞다
7,NIA_SL_SEN1808_REAL01,우산 실종 잃어버리다
8,NIA_SL_SEN1926_REAL01,차밀리다 시간 괜찮다
9,NIA_SL_SEN1362_REAL01,서울대학교 길 찾다 방법
10,NIA_SL_SEN1580_REAL01,언덕 저기 곳 다음 도착 차내리다
13,NIA_SL_SEN1896_REAL01,핸드폰 없다 실종
14,NIA_SL_SEN1641_REAL01,군청 곳 다음 내리다
15,NIA_SL_SEN1672_REAL01,버스 곳 다음 내리다
17,NIA_SL_SEN0164_REAL01,핸드폰 번호 필요
18,NIA_SL_SEN1411_REAL01,영등포 곳 찾다 곳 방법
19,NIA_SL_SEN1883_REAL01,아이 잃어버리다 실종
20,NIA_SL_SEN0454_REAL01,화장실 무엇
23,NIA_SL_SEN1538_REAL01,사거리 다음 도착 차내리다
24,NIA_SL_SEN0073_REAL01,9호
25,NIA_SL_SEN1932_REAL01,돈
27,NIA_SL_SEN0679_REAL01,나사렛 가다 내리다
28,NIA_SL_SEN0550_REAL01,좌회전 맞다
29,NIA_SL_SEN1656_REAL01,병원 저기 다음 곳
30,NIA_SL_SEN0040_REAL01,택시 기본 만원
33,NIA_SL_SEN0890_REAL01,서대문농아인복지관 내리다 오케이
34,NIA_SL_SEN0577_REAL01,나사렛 도착
35,NIA_SL_SEN0359_REAL01,여기 내리다 맞다
37,NIA_SL_SEN0211_REAL01,약 보다 차내리다
38,NIA_SL_SEN1116_REAL01,엘리베이터 잘 안되다 사용 불가능
39,NIA_SL_SEN1059_REAL01,자판기 안되다
40,NIA_SL_SEN0028_REAL01,위험
43,NIA_SL_SEN1465_REAL01,터널 다음 곳
44,NIA_SL_SEN0247_REAL01,9호 곳곳
45,NIA_SL_SEN0700_REAL01,아파트 문 가다
47,NIA_SL_SEN0523_REAL01,학교 가다
48,NIA_SL_SEN1052_REAL01,계단 뼈곳
49,NIA_SL_SEN1867_REAL01,사진기 찾다 실종
50,NIA_SL_SEN1265_REAL01,맥도날드 보다 곳 저기 다음 도착 내리다
53,NIA_SL_SEN0837_REAL01,시청 오케이
54,NIA_SL_SEN1764_REAL01,편지 저기 곳 다음 차내리다
55,NIA_SL_SEN0769_REAL01,건너다 차내리다 오케이
57,NIA_SL_SEN0664_REAL01,지름길 차내리다 가다
58,NIA_SL_SEN1418_REAL01,영등포 곳 찾다 길 가다 방법
59,NIA_SL_SEN1454_REAL01,종로 찾다 가다 곳 방법
60,NIA_SL_SEN0141_REAL01,택시 곳 가깝다
63,NIA_SL_SEN0724_REAL01,나사렛 전 도착 내리다
64,NIA_SL_SEN0042_REAL01,돈 얼마 맞다 확인
65,NIA_SL_SEN1169_REAL01,공항 버스 전 곳 보다 도착 내리다
67,NIA_SL_SEN0482_REAL01,카드 또 다르다 없다
68,NIA_SL_SEN0897_REAL01,에어컨
69,NIA_SL_SEN1219_REAL01,스타벅스 곳 저기 전 저기
70,NIA_SL_SEN1758_REAL01,경찰 저기 곳 다음 도착 내리다
73,NIA_SL_SEN0573_REAL01,나사렛 내리다
74,NIA_SL_SEN0161_REAL01,도착 알려주다
75,NIA_SL_SEN0961_REAL01,청음회관 곳
77,NIA_SL_SEN1772_REAL01,맞다
78,NIA_SL_SEN0493_REAL01,카드 단말기터치 다시
79,NIA_SL_SEN0969_REAL01,춥다 끄다
80,NIA_SL_SEN0785_REAL01,여기 차내리다 맞다
83,NIA_SL_SEN0370_REAL01,도착 10분
84,NIA_SL_SEN1002_REAL01,약 곳 무엇
85,NIA_SL_SEN1147_REAL01,카드 사용 안되다 고장
87,NIA_SL_SEN0195_REAL01,모르다
88,NIA_SL_SEN0768_REAL01,건너다 차내리다 오케이
89,NIA_SL_SEN0118_REAL01,신분당 곳 무엇
90,NIA_SL_SEN0043_REAL01,밤 12시 후 돈 추가
93,NIA_SL_SEN1519_REAL01,버스 곳 저기 다음 도착 차내리다
94,NIA_SL_SEN0686_REAL01,샛길 도착
95,NIA_SL_SEN0093_REAL01,도착 곳 국립박물관
97,NIA_SL_SEN0113_REAL01,타다
98,NIA_SL_SEN1134_REAL01,자판기 고장 죽다
99,NIA_SL_SEN1631_REAL01,지하철 곳 다음 내리다
100,NIA_SL_SEN1468_REAL01,터널 다음 도착 차내리다
103,NIA_SL_SEN1126_REAL01,물품보관 잘 안되다 죽다
104,NIA_SL_SEN0853_REAL01,나사렛 차내리다 오케이
105,NIA_SL_SEN0101_REAL01,지하철 곳 번호 1
107,NIA_SL_SEN0114_REAL01,타다
